2020-04-24_13:24:19|400|{"fecha":"2020-04-24 13:24:19.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:24:50|400|{"fecha":"2020-04-24 13:24:50.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:24:54|400|{"fecha":"2020-04-24 13:24:54.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:24:56|400|{"fecha":"2020-04-24 13:24:56.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:24:56|400|{"fecha":"2020-04-24 13:24:56.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:24:58|500|{"fecha":"2020-04-24 13:24:58.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:31:30|400|{"fecha":"2020-04-24 13:31:30.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:31:46|400|{"fecha":"2020-04-24 13:31:46.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:31:54|400|{"fecha":"2020-04-24 13:31:54.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:32:06|400|{"fecha":"2020-04-24 13:32:06.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:32:18|400|{"fecha":"2020-04-24 13:32:18.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:34:19|500|{"fecha":"2020-04-24 13:34:19.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:44:57|400|{"fecha":"2020-04-24 13:44:57.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:45:13|400|{"fecha":"2020-04-24 13:45:13.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:45:18|400|{"fecha":"2020-04-24 13:45:18.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:45:23|400|{"fecha":"2020-04-24 13:45:23.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:45:33|400|{"fecha":"2020-04-24 13:45:33.0","status":400,"error":"Bad Request","message":"Formato de fecha incorrecto","traces":null}|
2020-04-24_13:46:40|500|{"fecha":"2020-04-24 13:46:40.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
2020-04-24_13:46:42|500|{"fecha":"2020-04-24 13:46:42.0","status":500,"error":"Internal Error","message":"could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement","traces":null}|
